Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.0: Broker1: Trying to Create VM #2974 in Datacenter_0
0.0: Broker1: Trying to Create VM #497 in Datacenter_0
0.0: Broker1: Trying to Create VM #5330 in Datacenter_0
0.0: Broker1: Trying to Create VM #2570 in Datacenter_0
0.0: Broker1: Trying to Create VM #218 in Datacenter_0
0.0: Broker1: Trying to Create VM #3660 in Datacenter_0
0.0: Broker1: Trying to Create VM #5787 in Datacenter_0
0.0: Broker1: Trying to Create VM #3505 in Datacenter_0
0.0: Broker1: Trying to Create VM #3125 in Datacenter_0
0.0: Broker1: Trying to Create VM #828 in Datacenter_0
0.0: Broker1: Trying to Create VM #3441 in Datacenter_0
0.0: Broker1: Trying to Create VM #2866 in Datacenter_0
0.0: Broker1: Trying to Create VM #4457 in Datacenter_0
0.0: Broker1: Trying to Create VM #2585 in Datacenter_0
0.0: Broker1: Trying to Create VM #3357 in Datacenter_0
0.0: Broker1: Trying to Create VM #305 in Datacenter_0
0.0: Broker1: Trying to Create VM #2231 in Datacenter_0
0.0: Broker1: Trying to Create VM #4981 in Datacenter_0
0.0: Broker1: Trying to Create VM #2820 in Datacenter_0
0.0: Broker1: Trying to Create VM #28 in Datacenter_0
0.0: Broker1: Trying to Create VM #4028 in Datacenter_0
0.0: Broker1: Trying to Create VM #2666 in Datacenter_0
0.0: Broker1: Trying to Create VM #1872 in Datacenter_0
0.0: Broker1: Trying to Create VM #3511 in Datacenter_0
0.0: Broker1: Trying to Create VM #2215 in Datacenter_0
0.0: Broker1: Trying to Create VM #1524 in Datacenter_0
0.0: Broker1: Trying to Create VM #1373 in Datacenter_0
0.0: Broker1: Trying to Create VM #4587 in Datacenter_0
0.0: Broker1: Trying to Create VM #3912 in Datacenter_0
0.0: Broker1: Trying to Create VM #5174 in Datacenter_0
0.0: Broker1: Trying to Create VM #4787 in Datacenter_0
0.0: Broker1: Trying to Create VM #394 in Datacenter_0
0.0: Broker1: Trying to Create VM #1536 in Datacenter_0
0.0: Broker1: Trying to Create VM #5014 in Datacenter_0
0.0: Broker1: Trying to Create VM #5985 in Datacenter_0
0.0: Broker1: Trying to Create VM #5257 in Datacenter_0
0.0: Broker1: Trying to Create VM #2664 in Datacenter_0
0.0: Broker1: Trying to Create VM #1635 in Datacenter_0
0.0: Broker1: Trying to Create VM #1892 in Datacenter_0
0.0: Broker1: Trying to Create VM #1302 in Datacenter_0
0.0: Broker1: Trying to Create VM #3157 in Datacenter_0
0.0: Broker1: Trying to Create VM #4316 in Datacenter_0
0.0: Broker1: Trying to Create VM #1275 in Datacenter_0
0.0: Broker1: Trying to Create VM #4609 in Datacenter_0
0.0: Broker1: Trying to Create VM #5539 in Datacenter_0
0.0: Broker1: Trying to Create VM #2580 in Datacenter_0
0.0: Broker1: Trying to Create VM #1731 in Datacenter_0
0.0: Broker1: Trying to Create VM #4388 in Datacenter_0
0.0: Broker1: Trying to Create VM #867 in Datacenter_0
0.0: Broker1: Trying to Create VM #264 in Datacenter_0
0.0: Broker1: Trying to Create VM #5013 in Datacenter_0
0.0: Broker1: Trying to Create VM #5840 in Datacenter_0
0.0: Broker1: Trying to Create VM #3028 in Datacenter_0
0.0: Broker1: Trying to Create VM #3395 in Datacenter_0
0.0: Broker1: Trying to Create VM #5976 in Datacenter_0
0.0: Broker1: Trying to Create VM #2069 in Datacenter_0
0.0: Broker1: Trying to Create VM #4350 in Datacenter_0
0.0: Broker1: Trying to Create VM #385 in Datacenter_0
0.0: Broker1: Trying to Create VM #367 in Datacenter_0
0.0: Broker1: Trying to Create VM #5672 in Datacenter_0
0.0: Broker1: Trying to Create VM #4221 in Datacenter_0
0.0: Broker1: Trying to Create VM #4965 in Datacenter_0
0.0: Broker1: Trying to Create VM #4073 in Datacenter_0
0.0: Broker1: Trying to Create VM #4876 in Datacenter_0
0.0: Broker1: Trying to Create VM #46 in Datacenter_0
0.0: Broker1: Trying to Create VM #3100 in Datacenter_0
0.0: Broker1: Trying to Create VM #3517 in Datacenter_0
0.0: Broker1: Trying to Create VM #4270 in Datacenter_0
0.0: Broker1: Trying to Create VM #4722 in Datacenter_0
0.0: Broker1: Trying to Create VM #3122 in Datacenter_0
0.0: Broker1: Trying to Create VM #973 in Datacenter_0
0.0: Broker1: Trying to Create VM #2162 in Datacenter_0
0.0: Broker1: Trying to Create VM #2167 in Datacenter_0
0.0: Broker1: Trying to Create VM #4694 in Datacenter_0
0.0: Broker1: Trying to Create VM #499 in Datacenter_0
0.0: Broker1: Trying to Create VM #4734 in Datacenter_0
0.0: Broker1: Trying to Create VM #2136 in Datacenter_0
0.0: Broker1: Trying to Create VM #4774 in Datacenter_0
0.0: Broker1: Trying to Create VM #1666 in Datacenter_0
0.0: Broker1: Trying to Create VM #2095 in Datacenter_0
0.0: Broker1: Trying to Create VM #2241 in Datacenter_0
0.0: Broker1: Trying to Create VM #3072 in Datacenter_0
0.0: Broker1: Trying to Create VM #222 in Datacenter_0
0.0: Broker1: Trying to Create VM #5462 in Datacenter_0
0.0: Broker1: Trying to Create VM #5062 in Datacenter_0
0.0: Broker1: Trying to Create VM #2785 in Datacenter_0
0.0: Broker1: Trying to Create VM #5878 in Datacenter_0
0.0: Broker1: Trying to Create VM #2092 in Datacenter_0
0.0: Broker1: Trying to Create VM #2238 in Datacenter_0
0.0: Broker1: Trying to Create VM #3312 in Datacenter_0
0.0: Broker1: Trying to Create VM #4115 in Datacenter_0
0.0: Broker1: Trying to Create VM #5866 in Datacenter_0
0.0: Broker1: Trying to Create VM #1726 in Datacenter_0
0.0: Broker1: Trying to Create VM #328 in Datacenter_0
0.0: Broker1: Trying to Create VM #3567 in Datacenter_0
0.0: Broker1: Trying to Create VM #1220 in Datacenter_0
0.0: Broker1: Trying to Create VM #2789 in Datacenter_0
0.0: Broker1: Trying to Create VM #1990 in Datacenter_0
0.0: Broker1: Trying to Create VM #1851 in Datacenter_0
0.0: Broker1: Trying to Create VM #4050 in Datacenter_0
0.0: Broker1: Trying to Create VM #5115 in Datacenter_0
0.0: Broker1: Trying to Create VM #2828 in Datacenter_0
0.0: Broker1: Trying to Create VM #1025 in Datacenter_0
0.0: Broker1: Trying to Create VM #21 in Datacenter_0
0.0: Broker1: Trying to Create VM #5935 in Datacenter_0
0.0: Broker1: Trying to Create VM #3220 in Datacenter_0
0.0: Broker1: Trying to Create VM #4638 in Datacenter_0
0.0: Broker1: Trying to Create VM #558 in Datacenter_0
0.0: Broker1: Trying to Create VM #2780 in Datacenter_0
0.0: Broker1: Trying to Create VM #3702 in Datacenter_0
0.0: Broker1: Trying to Create VM #3393 in Datacenter_0
0.0: Broker1: Trying to Create VM #1133 in Datacenter_0
0.0: Broker1: Trying to Create VM #5498 in Datacenter_0
0.0: Broker1: Trying to Create VM #3563 in Datacenter_0
0.0: Broker1: Trying to Create VM #756 in Datacenter_0
0.0: Broker1: Trying to Create VM #734 in Datacenter_0
0.0: Broker1: Trying to Create VM #2488 in Datacenter_0
0.0: Broker1: Trying to Create VM #2918 in Datacenter_0
0.0: Broker1: Trying to Create VM #4299 in Datacenter_0
0.0: Broker1: Trying to Create VM #957 in Datacenter_0
0.0: Broker1: Trying to Create VM #2629 in Datacenter_0
0.0: Broker1: Trying to Create VM #266 in Datacenter_0
0.0: Broker1: Trying to Create VM #5050 in Datacenter_0
0.0: Broker1: Trying to Create VM #14 in Datacenter_0
0.0: Broker1: Trying to Create VM #3989 in Datacenter_0
0.0: Broker1: Trying to Create VM #5215 in Datacenter_0
0.0: Broker1: Trying to Create VM #2599 in Datacenter_0
0.0: Broker1: Trying to Create VM #2507 in Datacenter_0
0.0: Broker1: Trying to Create VM #5268 in Datacenter_0
0.0: Broker1: Trying to Create VM #4274 in Datacenter_0
0.0: Broker1: Trying to Create VM #890 in Datacenter_0
0.0: Broker1: Trying to Create VM #3504 in Datacenter_0
0.0: Broker1: Trying to Create VM #4686 in Datacenter_0
0.0: Broker1: Trying to Create VM #3524 in Datacenter_0
0.0: Broker1: Trying to Create VM #5321 in Datacenter_0
0.0: Broker1: Trying to Create VM #1172 in Datacenter_0
0.0: Broker1: Trying to Create VM #926 in Datacenter_0
0.0: Broker1: Trying to Create VM #188 in Datacenter_0
0.0: Broker1: Trying to Create VM #3067 in Datacenter_0
0.0: Broker1: Trying to Create VM #2805 in Datacenter_0
0.0: Broker1: Trying to Create VM #2875 in Datacenter_0
0.0: Broker1: Trying to Create VM #753 in Datacenter_0
0.0: Broker1: Trying to Create VM #5290 in Datacenter_0
0.0: Broker1: Trying to Create VM #1462 in Datacenter_0
0.0: Broker1: Trying to Create VM #4438 in Datacenter_0
0.0: Broker1: Trying to Create VM #382 in Datacenter_0
0.0: Broker1: Trying to Create VM #3492 in Datacenter_0
0.0: Broker1: Trying to Create VM #469 in Datacenter_0
0.0: Broker1: Trying to Create VM #2579 in Datacenter_0
0.0: Broker1: Trying to Create VM #1786 in Datacenter_0
0.0: Broker1: Trying to Create VM #4187 in Datacenter_0
0.0: Broker1: Trying to Create VM #2554 in Datacenter_0
0.0: Broker1: Trying to Create VM #1930 in Datacenter_0
0.0: Broker1: Trying to Create VM #3783 in Datacenter_0
0.0: Broker1: Trying to Create VM #1503 in Datacenter_0
0.0: Broker1: Trying to Create VM #4785 in Datacenter_0
0.0: Broker1: Trying to Create VM #1206 in Datacenter_0
0.0: Broker1: Trying to Create VM #4287 in Datacenter_0
0.0: Broker1: Trying to Create VM #3014 in Datacenter_0
0.0: Broker1: Trying to Create VM #4426 in Datacenter_0
0.0: Broker1: Trying to Create VM #5966 in Datacenter_0
0.0: Broker1: Trying to Create VM #4084 in Datacenter_0
0.0: Broker1: Trying to Create VM #4892 in Datacenter_0
0.0: Broker1: Trying to Create VM #373 in Datacenter_0
0.0: Broker1: Trying to Create VM #3358 in Datacenter_0
0.0: Broker1: Trying to Create VM #4531 in Datacenter_0
0.0: Broker1: Trying to Create VM #2023 in Datacenter_0
0.0: Broker1: Trying to Create VM #3075 in Datacenter_0
